name	path	description	status	lifecycle	license	source_url	source_locator	risk	version	notes
debate-protocol	04_技能包\skills-shared-candidate\debate-protocol	对抗式立场辩论协议（adversarial position debate）——把决策议题拆成强制对立的支持/反对两方，经过证据化陈述→交叉质询→回应修订→主持人综合，产出经对抗检验的结构化决策与分歧清单。蒸馏自 TradingAgents（Bull/Bear researcher 辩论机制，arXiv:2412.20138）。当用户说「辩论」「多空」「对抗评审」「方案PK」「两方观点」「正反论证」「支持还是反对」「帮我想想利弊」时触发。	candidate	active				normal		
decision-review-loop	04_技能包\skills-shared-candidate\decision-review-loop	决策记忆与事后复盘闭环——把每个重要决策登记下来（含理由、置信度、失效条件），到期后对照真实结果做归因（判断对/运气对/判断错/运气错），把教训写回经验记忆，下次同类决策前自动检索。蒸馏自 TradingAgents 决策记忆复盘机制与 FinMem 分层记忆（arXiv:2412.20138）。嫁接在本仓库 experience-memory-mcp 上。当用户说「复盘」「登记这个决策」「上次那个判断怎么样了」「回顾一下」「教训」「这个决定记下来以后看」时触发。	candidate	active				normal		
docx	04_技能包\skills-shared-candidate\docx	Create, edit, repair, and review Word documents (.docx). Use for docx-js document creation, in-place editing of existing .docx files, comments, tracked changes, and DOCX package validation/auto-repair.	quarantine	deprecated	Moonshot AI Skill License			normal		
graham-dodd-security-analysis	04_技能包\skills-shared-candidate\graham-dodd-security-analysis	Apply a Graham-Dodd style security analysis framework for conservative investment research. Use when evaluating a stock, bond, business, or investment memo through intrinsic value, margin of safety, balance sheet strength, earnings quality, and investment-versus-speculation discipline. This skill does not provide personalized financial advice or live trading instructions.	candidate	active	Internal			normal		
grill-me	04_技能包\skills-shared-candidate\grill-me	A relentless interview to sharpen a plan or design.	candidate	active	MIT	https://github.com/mattpocock/skills	skills/productivity/grill-me/SKILL.md	normal		source repo verified
hedge-fund	04_技能包\skills-shared-candidate\hedge-fund	Run a multi-agent AI hedge fund analysis on A-share tickers using the local ai-hedge-fund codebase (agents: Buffett, Munger, Graham, Lynch, Druckenmiller, PEAD). Data comes from AkShare (free, no API key). Use when the user wants a multi-agent fund analysis, bull/bear thesis per ticker, deep-value/earnings-drift screening, or a fund-level decision memo on Chinese A-shares. Trigger words: 基金, 多agent投研, 多智能体基金, ai-hedge-fund, 投资组合, 股票池, buffett/munger/graham 视角, 回测.	candidate	shadow				normal		
humanizer-zh	04_技能包\skills-shared-candidate\humanizer-zh	|	candidate	active	MIT		present-in-skill-header	normal		header has origin/license hints
image-ocr-vision-provider	04_技能包\skills-shared-candidate\image-ocr-vision-provider	Use when Agent OS needs governed OCR or visual extraction for image/PDF attachments, especially image bucket max_steps recovery, OCR_RESULT/LAYOUT_RESULT generation, or dry-run gated Qwen-VL style vision provider routing.	quarantine	deprecated				normal		
intake-control-plane	04_技能包\skills-shared-candidate\intake-control-plane	Unified intake control plane for external skills, repositories, and bug findings. Use when evaluating a third-party Skill or repo, generating license/source/PII/misuse inventory, planning remediation, or converting intake gaps into executable bug tickets. Combines skill-intake-scanner, repo-intake-and-plan, and bug-intake behavior in one workflow.	candidate	active	Internal			normal		
kimi-design-skill	04_技能包\skills-shared-candidate\kimi-design-skill	Use when generating, modifying, or reviewing Kimi-style Web UI, and draft Kimi-style Mobile UI. This skill applies Kimi design principles, design tokens, and platform-specific component rules with progressive disclosure.	quarantine	active			present-in-skill-header	needs-review		
kimi-slides	04_技能包\skills-shared-candidate\kimi-slides	Create and edit presentations in PPTX format. This skill defines a .pptd intermediate format to simplify OOXML operations. Any task involving the generation or editing of PPTX files must use this skill and no other method. This skill can also be used to read uploaded PPTX files and convert PPTX documents into images. When the user requests an infographic or poster without specifying an image or HTML format, this skill may likewise be used to create it as a PPTX file.	quarantine	active			present-in-skill-header	needs-review		header has origin/license hints
kimi-webbridge	04_技能包\skills-shared-candidate\kimi-webbridge	|	quarantine	active		http://127.0.0.1:10086`.	present-in-skill-header	needs-review	1.11.3	header has origin/license hints
legal-risk-assessment	04_技能包\skills-shared-candidate\legal-risk-assessment	Assess and classify legal risks using a severity-by-likelihood framework with escalation criteria. Use when evaluating contract risk, assessing deal exposure, classifying issues by severity, or determining whether a matter needs senior counsel or outside legal review.	candidate	active	Apache-2.0		present-in-skill-header	normal		header has origin/license hints
manual-gates	04_技能包\skills-shared-candidate\manual-gates	"按《个人AI项目执行手册》（7阶段27节点、规模自适应三轨）驱动开发节奏：在 AI 项目开发、写代码、做功能、冲刺规划、节点验收、阶段评审时使用。触发词包括""边开发边检查""""按手册执行""""节点验收""""阶段门禁""""plan_next""""gate_report""""set_mode""""快速轨""""开发前先看验收标准""以及任何围绕该手册节点的规划/检查/复盘请求。通过 7 个分工 MCP（strategy/design/data_ai/planning/dev/qa/ops）完成规划、验收与门禁判断，让开发始终带着验收标准进行。"	candidate	active	Internal			normal		header has origin/license hints
market-rehearsal	04_技能包\skills-shared-candidate\market-rehearsal	Use when predicting how a market or opinion landscape will react to an event (earnings, policy, price change, news, rumors) via multi-agent rehearsal. Extract scenario, build ontology with A-share stakeholder templates, plan a 2-3 branch-driver simulation, produce a forecast brief with 3+ branches and evidence, interrogate actors with 5+ counterfactual questions, then revise branches. Use when the user asks for market reaction prediction, opinion evolution, PR/crisis rehearsal, policy impact forecast, or what-if scenario rehearsal in investing context.	candidate	active				normal		
math-model-selector	04_技能包\skills-shared-candidate\math-model-selector	Use when selecting mathematical models for engineering, industrial software, Agent OS governance, operations research, control, queueing, ranking, optimization, simulation, or decision workflows. Produces candidate models, assumptions, failure modes, validation tests, source-backed evidence boundaries, and misuse warnings; never use it to provide live financial trading advice, direct PLC/industrial-control actions, or a single best model without validation.	candidate	active	Internal		present-in-skill-header	needs-review		
mckinsey-structured-thinking	04_技能包\skills-shared-candidate\mckinsey-structured-thinking	"麦肯锡结构化思维主题框架——MECE 分类、假设驱动与议题树、金字塔原理、七步成诗问题解决流程。用于拆解模糊需求、构建论证、结构化表达与评审方案。触发词：「MECE」「金字塔原理」「结构化拆解」「议题树」「假设驱动」「七步成诗」「结论先行」「SCQA」「帮我拆解这个问题」「这个方案结构怎么样」。English triggers: ""MECE"", ""pyramid principle"", ""issue tree"", ""hypothesis driven"", ""structured thinking"". 不在一般性闲聊中自动触发。"	candidate	active	Internal			normal		
md-to-pdf	04_技能包\skills-shared-candidate\md-to-pdf	Convert Markdown documents to PDF format. Use when the user needs to transform .md files into .pdf, including documentation export, report generation, or document sharing. Supports multiple conversion methods from simple to advanced formatting needs.	quarantine	active				needs-review		
memory-widget	04_技能包\skills-shared-candidate\memory-widget	Use when the user wants to SEE their own memory/vault as a visual widget - a dashboard, calendar, table, tag gallery, or relationship graph of the people/projects/concepts you remember about them. Triggers: '把我的记忆做成 dashboard', 'show my memory', 'visualize what you know about me', '我的记忆时间线/关系图/表格'. This is the data-class widget path: FIXED component styles, you only bind real vault data. For free-form / creative / one-off visuals that are NOT the user's memory data, use the Blueprint widget skill instead.	quarantine	deprecated				needs-review		header has origin/license hints
metaskill-creator	04_技能包\skills-shared-candidate\metaskill-creator	Distill execution traces, replay logs, gate reports, and repeated task protocols into reusable workflow skills or MetaSkill candidates. Use when a task is best learned from how it was executed rather than from static domain knowledge, or when the user wants skill composition, trace-to-skill extraction, or workflow protocol reuse.	candidate	active	Internal			normal		
nuwa-runbook	04_技能包\skills-shared-candidate\nuwa-runbook	女娲蒸馏产线适配版——把一个思维对象（方法论/框架/领域知识）按门禁流程蒸馏成可调用的 SKILL.md。当用户说「蒸馏XX」「把XX做成skill」「女娲」时触发。全程强制走 manual-gates 27 节点门禁，调研不落盘等于没做，一手信源占比不达标则诚实降级。	candidate	active	Internal			normal		header has origin/license hints
pdf	04_技能包\skills-shared-candidate\pdf	Create and process PDF files. Creation covers reports, papers, and documents with charts, tables, math formulas, and code listings. Processing covers text/table extraction, form filling, and page operations (merge, split, rotate, crop). Use when the user mentions PDF, .pdf, or asks to extract/merge/fill PDF files.	quarantine	deprecated	Moonshot AI Skill License			normal		
pricing-strategy	04_技能包\skills-shared-candidate\pricing-strategy	Design, optimize, and communicate SaaS pricing — tier structure, value metrics, pricing pages, and price increase strategy. Use when building a pricing model from scratch, redesigning existing pricing, planning a price increase, or improving a pricing page. Trigger keywords: pricing tiers, pricing page, price increase, packaging, value metric, per seat pricing, usage-based pricing, freemium, good-better-best, pricing strategy, monetization, pricing page conversion, Van Westendorp.	candidate	deprecated	MIT			needs-review	1.0.0	header has origin/license hints
process-doc	04_技能包\skills-shared-candidate\process-doc	Document a business process — flowcharts, RACI, and SOPs. Use when formalizing a process that lives in someone's head, building a RACI to clarify who owns what, writing an SOP for a handoff or audit, or capturing the exceptions and edge cases of how work actually gets done.	candidate	active	Apache-2.0	https://github.com/anthropics/knowledge-work-plugins/tree/main/operations/skills/process-doc	operations/skills/process-doc/SKILL.md	normal		header has origin/license hints; source repo verified
repo-agent-workflow	04_技能包\skills-shared-candidate\repo-agent-workflow	仓库级 agent 工作流契约——给任意代码仓库建立「SSOT 只读清单 + 实现面 truth + 安全红线 + 验证命令 + 锚点表」五件套，让 coding agent（Cursor/Claude Code/Codex）进仓库就知道改什么、不许碰什么、怎么自验。蒸馏自 QuantDinger 的 .cursor/skills/quantdinger-agent-workflow。当用户说「给这个仓库建 agent 工作流」「蒸馏仓库机制」「怎么让 AI 安全地改这个大仓库」「建立仓库契约」或开始一个会持续多轮改动的中大型项目时触发。	quarantine	deprecated				normal		
repo-intake-and-plan	04_技能包\skills-shared-candidate\repo-intake-and-plan	Ingest a repository, skill pack, or codebase snapshot; extract provenance, license, PII, and misuse risk; classify the intake verdict; and turn the findings into a concrete remediation plan or bug tickets. Use when evaluating new repos/skills, checking source evidence, licenses, or safety risk, or when converting scan results into an actionable repair plan.	candidate	active	Internal			normal		
research	04_技能包\skills-shared-candidate\research	Investigate a question against high-trust primary sources and capture the findings as a Markdown file in the repo. Use when the user wants a topic researched, docs or API facts gathered, or reading legwork delegated to a background agent.	candidate	active	MIT	https://github.com/mattpocock/skills	skills/engineering/research/SKILL.md	normal		source repo verified
saas-metrics-coach	04_技能包\skills-shared-candidate\saas-metrics-coach	SaaS financial health advisor. Use when a user shares revenue or customer numbers, or mentions ARR, MRR, churn, LTV, CAC, NRR, or asks how their SaaS business is doing.	candidate	deprecated	MIT			needs-review	1.0.0	header has origin/license hints
scientific-problem-selection	04_技能包\skills-shared-candidate\scientific-problem-selection	"This skill should be used when scientists need help with research problem selection, project ideation, troubleshooting stuck projects, or strategic scientific decisions. Use this skill when users ask to pitch a new research idea, work through a project problem, evaluate project risks, plan research strategy, navigate decision trees, or get help choosing what scientific problem to work on. Typical requests include ""I have an idea for a project"", ""I'm stuck on my research"", ""help me evaluate this project"", ""what should I work on"", or ""I need strategic advice about my research""."	candidate	active	Apache-2.0		present-in-skill-header	normal		header has origin/license hints
seaborn-visualization	04_技能包\skills-shared-candidate\seaborn-visualization	charting, plotting, graphing, visualization, seaborn, matplotlib, pandas reports, Chinese chart labels, and data-viz code in Daimon's managed Python runtime. Covers both interactive runs via the Bash tool and Blueprint Automation code execution.	quarantine	deprecated				needs-review		
seo-audit	04_技能包\skills-shared-candidate\seo-audit	"When the user wants to audit, review, or diagnose SEO issues on their site. Also use when the user mentions ""SEO audit,"" ""technical SEO,"" ""why am I not ranking,"" ""SEO issues,"" ""on-page SEO,"" ""meta tags review,"" ""SEO health check,"" ""my traffic dropped,"" ""lost rankings,"" ""not showing up in Google,"" ""site isn't ranking,"" ""Google update hit me,"" ""page speed,"" ""core web vitals,"" ""crawl errors,"" or ""indexing issues."" Use this even if the user just says something vague like ""my SEO is bad"" or ""help with SEO"" — start with an audit."	candidate	deprecated	MIT	https://search.google.com/test/rich-results		needs-review	1.1.0	header has origin/license hints
shortdrama-video-generation	04_技能包\skills-shared-candidate\shortdrama-video-generation	Plan and prepare AI short-drama video generation workflows. Use when creating short drama, web drama, vertical drama, AI video, shot prompts, character consistency sheets, scene prompts, video-generator selection, production pipeline, continuity QA, or acceptance checks for tools such as Sora, Veo, Runway, Kling, Pika, Luma, Hailuo, or similar video models.	quarantine	deprecated				needs-review		header has origin/license hints
skill-creator	04_技能包\skills-shared-candidate\skill-creator	Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Kimi's capabilities with specialized knowledge, workflows, or tool integrations.	quarantine	active				needs-review		header has origin/license hints
skill-pipeline-orchestrator	04_技能包\skills-shared-candidate\skill-pipeline-orchestrator	Orchestrate multiple skills into an execution pipeline. Use when a user problem needs skill selection, ordered execution, gating, retry, feedback, or handoff across intake, routing, distillation, creation, evolution, publishing, and recovery.	candidate	active	Internal			normal		
skill-publisher	04_技能包\skills-shared-candidate\skill-publisher	Package and prepare skills for release to local or external destinations. Use when a skill needs packaging, release notes, README/license checks, or a publication checklist for GitHub or a marketplace.	candidate	active	Internal			normal		
skill-register	04_技能包\skills-shared-candidate\skill-register	Register and maintain skill metadata for the local Skill Platform. Use when a new skill, repo, or distilled capability needs registry status, source/license evidence, risk state, or version tracking.	candidate	active	Internal			normal		
skill-router	04_技能包\skills-shared-candidate\skill-router	Route user tasks to the best local skills using registry metadata, skill descriptions, risk state, and simple scoring. Use when the system needs to choose which skill should handle a task, or when multiple skills are candidates.	candidate	active	Internal			normal		
speech	04_技能包\skills-shared-candidate\speech	Use when the user asks for text-to-speech narration or voiceover, accessibility reads, audio prompts, or batch speech generation via the OpenAI Audio API; run the bundled CLI (`scripts/text_to_speech.py`) with built-in voices and require `OPENAI_API_KEY` for live calls. Custom voice creation is out of scope.	candidate	shadow	Apache-2.0	https://platform.openai.com/api-keys		needs-review		
to-spec	04_技能包\skills-shared-candidate\to-spec	Turn the current conversation into a spec and publish it to the project issue tracker — no interview, just synthesis of what you've already discussed.	candidate	active	MIT	https://github.com/mattpocock/skills	skills/engineering/to-spec/SKILL.md	normal		source repo verified
to-tickets	04_技能包\skills-shared-candidate\to-tickets	Break a plan, spec, or the current conversation into a set of tracer-bullet tickets, each declaring its blocking edges, published to the configured tracker — edges as text in one file per ticket locally, or native blocking links on a real tracker.	candidate	active	MIT	https://github.com/mattpocock/skills	skills/engineering/to-tickets/SKILL.md	normal		header has origin/license hints; source repo verified
trading-decision-workflow	04_技能包\skills-shared-candidate\trading-decision-workflow	交易决策全流程工作流——把「该不该碰这个标的」拆成 事实包→基本面分析→多空辩论→风控检查→决策综合→复盘登记 六步流水线，串联 research/financial_data.py、graham-dodd-security-analysis、debate-protocol、decision-review-loop 四个技能。蒸馏自 TradingAgents 全链路设计（数据→分析→辩论→风控→决策→复盘，arXiv:2412.20138）。当用户说「分析一下这个股票」「要不要买XX」「帮我研究XX能不能投」「投研流程」「交易决策」「做个投资决策」时触发。	candidate	active				normal		
transcribe	04_技能包\skills-shared-candidate\transcribe	Transcribe audio files to text with optional diarization and known-speaker hints. Use when a user asks to transcribe speech from audio/video, extract text from recordings, or label speakers in interviews or meetings.	candidate	shadow	Apache-2.0			needs-review		header has origin/license hints
webapp-building	04_技能包\skills-shared-candidate\webapp-building	Tools for building modern React webapps with TypeScript, Tailwind CSS and shadcn/ui on the local machine. Best suited for applications with complex UI components and state management. If the user mentions building a website, webpage, or app, you MUST read and follow this skill's guidance to deploy a local React project rather than a plain HTML file. Supports optional templates for specialized requirements. Local edition.	quarantine	active		http://localhost:3000	present-in-skill-header	needs-review		header has origin/license hints
widget	04_技能包\skills-shared-candidate\widget	Use when creating, showing, updating, validating, deleting, rendering, or troubleshooting Daimon Blueprint Widgets, their responsive index.html UI, data slots, submit events, input state, files, and workspace resources. You MUST read widgetdesign skill before creating any widget.	quarantine	deprecated				needs-review		header has origin/license hints
widgetdesign	04_技能包\skills-shared-candidate\widgetdesign	Use when creating or reviewing a responsive Daimon/Kimi conversational, Blueprint, or Canvas widget; use for generic visual tools only when explicitly invoking $widgetdesign or targeting a Daimon/Kimi widget.	quarantine	deprecated				needs-review		
xlsx	04_技能包\skills-shared-candidate\xlsx	Create and analyze Excel spreadsheets (.xlsx/.csv). Supports formula-driven analysis, charts, conditional formatting, styled reports, and financial modeling (three-statement models, DCF, comps analysis). Use when the user mentions Excel, spreadsheet, .xlsx, .csv, or asks for data analysis with formulas.	quarantine	active	Moonshot AI Skill License	https://finance.yahoo.com/...		normal		
industrial-expert-dev	04_技能包\industrial-expert-dev	Industrial automation software expert workflow for PLC, HMI, barcode scanner, machine vision, marking/printing, MES traceability, device communication, SQLite/SQL logging, alarms, audit logs, recipes, reports, and Windows industrial desktop tools. Use when Codex is asked to design or develop industrial software, automation tooling, PLC-connected applications, HMI pages, production traceability systems, scanner/camera/printer integration, or when a project must follow an industrial engineering acceptance workflow.	candidate	manual-route-only	Internal		SKILL.md	needs-review		owner-gated manual route; industrial/device work; no automatic routing
knowledge-base	04_技能包\knowledge-base	Manage and query the user's local personal Agent knowledge base. Use when collecting useful Agent skills, playbooks, cases, official references, or web research into a local repository; when searching prior stored knowledge before a project; when adding items to quarantine; when promoting reviewed items; or when rebuilding/reporting the local SQLite FTS index.	candidate	read-query-boundary	Internal		SKILL.md	needs-review		owner-gated read/query boundary; add/promote/rebuild not enabled; no automatic routing
offline-upgrade	04_技能包\offline-upgrade	Run and manage the user's local offline Agent upgrade lane. Use when setting up autonomous offline upgrades, writing upgrade plans, enqueueing safe upgrade tasks, checking offline upgrade logs, or preparing user-space scheduled execution without administrator privileges.	shadow	read-status-boundary	Internal		SKILL.md	needs-review		owner-gated shadow/read-status boundary; enqueue/tick/loop/run-until blocked; no automatic routing
